True,True,,,
0.965451,0.944917,0.937583,-1,
0.943238,0.973466,0.938615,-1,
0.974631,0.935170,0.980213,-1,
0.973488,0.873141,0.990756,-1,
0.910738,0.709899,0.743853,-1,
0.948396,0.963702,0.965167,-1,
0.973474,0.847886,0.930519,-1,
0.963891,0.995060,0.983291,-1,
0.904520,0.910183,0.946519,-1,
0.822463,0.882268,0.940947,-1,
0.955266,0.980067,0.988253,-1,
0.856013,0.954679,0.962878,-1,
0.948631,0.856795,0.894873,-1,
0.975486,0.957747,0.984456,-1,
0.954082,0.961442,0.991453,-1,
0.938309,0.984699,0.985240,-1,
0.947145,0.920245,0.958456,-1,
0.973732,0.990650,0.986367,-1,
0.978938,0.991663,0.990501,-1,
0.961618,0.963956,0.991242,-1,
0.961883,0.984121,0.987015,-1,
0.946698,0.951698,0.994851,-1,
0.954903,0.931601,0.938967,-1,
0.985984,0.913581,0.956653,-1,
0.966300,0.980326,0.970464,-1,
0.985678,0.918002,0.967067,-1,
0.924071,0.952001,0.979754,-1,
0.964361,0.884443,0.981516,-1,
0.942510,0.942374,0.989308,-1,
0.941193,0.888729,0.982963,-1,
0.911387,0.989524,0.967168,-1,
0.821638,0.981392,0.983424,-1,
0.937649,0.981992,0.985156,-1,
0.981791,0.976196,0.947734,-1,
0.953272,0.990510,0.990408,-1,
0.965210,0.907876,0.958186,-1,
0.940300,0.970859,0.985270,-1,
0.950453,0.914245,0.991415,-1,
0.979937,0.876673,0.934842,-1,
0.948490,0.950305,0.976294,-1,
0.984990,0.911634,0.963327,-1,
0.983204,0.971393,0.994564,-1,
0.959354,0.969399,0.965977,-1,
0.967519,0.948710,0.907249,-1,
0.980187,0.930989,0.956863,-1,
0.948182,0.968649,0.994637,-1,
0.955417,0.974613,0.985289,-1,
0.953699,0.936980,0.965001,-1,
0.909794,0.746277,0.920753,-1,
0.906036,0.892558,0.969509,-1,
0.960214,0.966812,0.992003,-1,
0.861258,0.958808,0.938318,-1,
0.953587,0.907290,0.980424,-1,
0.968288,0.961908,0.986142,-1,
0.973413,0.768608,0.907639,-1,
0.967615,0.927065,0.908753,-1,
0.890005,0.945836,0.960409,-1,
0.955764,0.978886,0.973680,-1,
0.790252,0.780111,0.728583,-1,
0.973611,0.732112,0.941952,-1,
0.925287,0.946264,0.941508,-1,
0.964789,0.991131,0.991006,-1,
0.962280,0.967664,0.975813,-1,
0.920919,0.973117,0.971320,-1,
0.848934,0.991766,0.992763,-1,
0.984084,0.963806,0.944580,-1,
0.937809,0.886801,0.915834,-1,
0.959369,0.992279,0.979436,-1,
0.948679,0.963333,0.973570,-1,
0.958186,0.993650,0.990746,-1,
0.953627,0.911537,0.988640,-1,
0.945014,0.950055,0.968747,-1,
0.960261,0.912141,0.927578,-1,
0.986171,0.872614,0.977239,-1,
0.957602,0.858111,0.925801,-1,
0.965515,0.781112,0.935462,-1,
0.955461,0.682600,0.905422,-1,
0.931016,0.984593,0.985517,-1,
0.952009,0.969975,0.993097,-1,
